name,belt,total_reigns,total_days_as_champion,average_reign_duration,longest_single_reign,shortest_single_reign,most_recent_reign,first_reign,most_recent_reign_end,days_since_last_reign,title_diversity,avg_gap_between_reigns,career_span_days,avg_reigns_per_title
Stone Cold Steve Austin,WWE Championship,6,-65184.0,-10864.0,-10314.0,-11603.0,2001-10-08,1998-03-29,1970-01-01 00:00:00.000000006,8611.0,1,10973.0,-10314.0,6.0
Sue Green,WWE Women's Championship,1,-1974.0,-1974.0,-1974.0,-1974.0,1975-05-29,1975-05-29,1970-01-01 00:00:00.000000001,18240.0,1,,-1974.0,1.0
Superstar Billy Graham,WWE Championship,1,-2676.0,-2676.0,-2676.0,-2676.0,1977-04-30,1977-04-30,1970-01-01 00:00:00.000000001,17538.0,1,,-2676.0,1.0
Sycho Sid,WWE Championship,2,-19726.0,-9863.0,-9817.0,-9909.0,1997-02-17,1996-11-17,1970-01-01 00:00:00.000000002,10305.0,1,9908.0,-9817.0,2.0
Ted DiBiase,WWE Championship,1,-6609.0,-6609.0,-6609.0,-6609.0,1988-02-05,1988-02-05,1970-01-01 00:00:00.000000001,13605.0,1,,-6609.0,1.0
The Fabulous Moolah,WWE Women's Championship,7,-124991.0,-17855.9,-1976.0,-35886.0,2068-04-02,1975-05-31,1970-01-01 00:00:00.000000005,-15672.0,1,20501.5,-1976.0,7.0
The Iron Sheik,WWE Championship,1,-5107.0,-5107.0,-5107.0,-5107.0,1983-12-26,1983-12-26,1970-01-01 00:00:00.000000001,15107.0,1,,-5107.0,1.0
The Kat,WWE Women's Championship,1,-10937.0,-10937.0,-10937.0,-10937.0,1999-12-12,1999-12-12,1970-01-01 00:00:00.000000001,9277.0,1,,-10937.0,1.0
The Miz,WWE Championship,1,-14935.0,-14935.0,-14935.0,-14935.0,2010-11-22,2010-11-22,1970-01-01 00:00:00.000000001,5279.0,1,,-14935.0,1.0
The Rock,WWE Championship,8,-93006.0,-11625.8,-10545.0,-15732.0,2013-01-27,1998-11-15,1970-01-01 00:00:00.000000008,4482.0,1,11779.1,-10545.0,8.0
The Spider Lady,WWE Women's Championship,1,-5807.0,-5807.0,-5807.0,-5807.0,1985-11-25,1985-11-25,1970-01-01 00:00:00.000000002,14407.0,1,,-5807.0,1.0
The Ultimate Warrior,WWE Championship,1,-7395.0,-7395.0,-7395.0,-7395.0,1990-04-01,1990-04-01,1970-01-01 00:00:00.000000001,12819.0,1,,-7395.0,1.0
The Undertaker,WWE Championship,4,-40503.0,-10125.8,-8000.0,-11826.0,2002-05-19,1991-11-27,1970-01-01 00:00:00.000000004,8388.0,1,10833.3,-8000.0,4.0
Triple H,WWE Championship,9,-114409.0,-12712.1,-10826.0,-16824.0,2016-01-24,1999-08-23,1970-01-01 00:00:00.000000009,3390.0,1,12946.9,-10826.0,9.0
Trish Stratus,WWE Women's Championship,7,-86339.0,-12334.1,-11644.0,-13408.0,2006-09-17,2001-11-18,1970-01-01 00:00:00.000000007,6806.0,1,12448.2,-11644.0,7.0
Velvet McIntyre,WWE Women's Championship,1,-6027.0,-6027.0,-6027.0,-6027.0,1986-07-03,1986-07-03,1970-01-01 00:00:00.000000001,14187.0,1,,-6027.0,1.0
Victoria,WWE Women's Championship,2,-24479.0,-12239.5,-12008.0,-12471.0,2004-02-23,2002-11-17,1970-01-01 00:00:00.000000002,7743.0,1,12470.0,-12008.0,2.0
Vince McMahon,WWE Championship,1,-10848.0,-10848.0,-10848.0,-10848.0,1999-09-14,1999-09-14,1970-01-01 00:00:00.000000001,9366.0,1,,-10848.0,1.0
Wendi Richter,WWE Women's Championship,2,-10885.0,-5442.5,-5317.0,-5568.0,1985-03-31,1984-07-23,1970-01-01 00:00:00.000000002,14646.0,1,5567.0,-5317.0,2.0
Yokozuna,WWE Championship,2,-17058.0,-8529.0,-8494.0,-8564.0,1993-06-13,1993-04-04,1970-01-01 00:00:00.000000002,11650.0,1,8563.0,-8494.0,2.0
Yukiko Tomoe,WWE Women's Championship,1,-35863.0,-35863.0,-35863.0,-35863.0,2068-03-10,2068-03-10,1970-01-01 00:00:00.000000001,-15649.0,1,,-35863.0,1.0
